,mainframe,framedata,datatocompare,comparison
973,166,166,186,True
974,166,166,186,True
975,165,165,185,True
976,161,161,181,True
977,160,160,180,True
978,161,161,181,True
979,163,163,183,True
980,164,164,184,True
981,164,164,184,True
982,164,164,184,True
983,165,165,185,True
984,164,164,184,True
985,164,164,184,True
986,163,163,183,True
987,163,163,183,True
988,163,163,183,True
989,163,163,183,True
990,164,164,184,True
991,164,164,184,True
992,164,165,184,True
993,165,165,185,True
994,165,165,185,True
995,165,165,185,True
996,165,165,185,True
997,165,165,185,True
998,165,165,185,True
999,165,165,185,True
1000,165,165,185,True
1001,165,165,185,True
1002,165,165,185,True
1003,165,165,185,True
1004,165,165,185,True
1005,165,165,185,True
1006,164,165,184,True
1007,164,165,184,True
1008,164,165,184,True
1009,164,165,184,True
1010,164,165,184,True
1011,164,165,184,True
1012,164,165,184,True
1013,164,165,184,True
1014,164,165,184,True
1015,164,165,184,True
1016,164,165,184,True
1017,164,165,184,True
1018,164,164,184,True
1019,164,164,184,True
1020,164,164,184,True
1021,164,164,184,True
1022,164,165,184,True
1023,164,165,184,True
1024,163,165,183,True
1025,163,166,183,True
1026,163,166,183,True
1027,163,166,183,True
1028,163,166,183,True
1029,163,166,183,True
1030,163,166,183,True
1031,163,166,183,True
1032,163,166,183,True
1033,164,166,184,True
1034,166,166,186,True
1035,167,166,187,True
1036,169,166,189,True
1037,167,166,187,True
1038,167,167,187,True
1039,166,167,186,True
1040,165,167,185,True
1041,165,169,185,True
1042,165,169,185,True
1043,165,169,185,True
1044,166,169,186,True
1045,166,169,186,True
1046,166,169,186,True
1047,167,169,187,True
1048,167,169,187,True
1049,167,169,187,True
1050,169,169,189,True
1051,169,169,189,True
1052,169,169,189,True
1053,169,169,189,True
1054,169,169,189,True
1055,167,167,187,True
1056,167,168,187,True
1057,166,168,186,True
1058,165,167,185,True
1059,164,167,184,True
1060,164,167,184,True
1061,164,167,184,True
1062,164,167,184,True
1063,164,167,184,True
1064,163,166,183,True
1065,164,166,184,True
1066,164,166,184,True
1067,163,166,183,True
1068,163,166,183,True
1069,163,166,183,True
1070,164,166,184,True
1071,164,165,184,True
1072,163,164,183,True
1073,163,164,183,True
1074,163,163,183,True
1075,163,163,183,True
1076,163,163,183,True
1077,163,163,183,True
1078,164,164,184,True
1079,164,164,184,True
1080,163,163,183,True
1081,163,163,183,True
